"collection","pathway","pval","padj","log2err","ES","NES","size","leadingEdge"
"REACTOME","REACTOME_TRANSLATION",3.88293073272598e-32,5.48269819460908e-29,1.47456250139425,0.599084555061643,2.58379533434835,368,"ENSG00000166902;ENSG00000101210;ENSG00000102738;ENSG00000143374;ENSG00000115211;ENSG00000162910;ENSG00000163584;ENSG00000125445;ENSG00000177954;ENSG00000178952;ENSG00000181610;ENSG00000214026;ENSG00000062582;ENSG00000100804;ENSG00000104835;ENSG00000136930;ENSG00000144029;ENSG00000143947;ENSG00000096080;ENSG00000108826;ENSG00000143436;ENSG00000233927;ENSG00000141002;ENSG00000161960;ENSG00000143314;ENSG00000277791;ENSG00000083845;ENSG00000171421;ENSG00000197958;ENSG00000170445;ENSG00000142541;ENSG00000061794;ENSG00000175756;ENSG00000170889;ENSG00000112306;ENSG00000137818;ENSG00000262814;ENSG00000124614;ENSG00000108107;ENSG00000087191;ENSG00000177600;ENSG00000105372;ENSG00000133706;ENSG00000041357;ENSG00000008018;ENSG00000185627;ENSG00000130255;ENSG00000167526;ENSG00000105364;ENSG00000175390;ENSG00000132591;ENSG00000070010;ENSG00000112031;ENSG00000167862;ENSG00000213741;ENSG00000134001;ENSG00000100764;ENSG00000242485;ENSG00000145191;ENSG00000198918;ENSG00000174748;ENSG00000149273;ENSG00000172590;ENSG00000070756;ENSG00000179271;ENSG00000134056;ENSG00000111639;ENSG00000105193;ENSG00000114391;ENSG00000183617;ENSG00000101182;ENSG00000105640;ENSG00000168028;ENSG00000130706;ENSG00000116221;ENSG00000259494;ENSG00000126067;ENSG00000204316;ENSG00000197756;ENSG00000186468;ENSG00000137547;ENSG00000142676;ENSG00000161016;ENSG00000116120;ENSG00000106591;ENSG00000103035;ENSG00000166441;ENSG00000204822;ENSG00000155463;ENSG00000137411;ENSG00000231500;ENSG00000104529;ENSG00000109475;ENSG00000138326;ENSG00000114902;ENSG00000145425;ENSG00000156928;ENSG00000169288;ENSG00000165502;ENSG00000118181;ENSG00000115268;ENSG00000122026;ENSG00000103671;ENSG00000103707;ENSG00000198242;ENSG00000185608;ENSG00000198755;ENSG00000149806;ENSG00000163319;ENSG00000188846;ENSG00000065427;ENSG00000110700;ENSG00000174444;ENSG00000063177;ENSG00000198034;ENSG00000114686;ENSG00000221983;ENSG00000114942;ENSG00000197728;ENSG00000164587;ENSG00000108298;ENSG00000106263;ENSG00000136942;ENSG00000130312;ENSG00000243927;ENSG00000104131;ENSG00000084623;ENSG00000100387;ENSG00000142507;ENSG00000106588;ENSG00000165916;ENSG00000099341;ENSG00000074071;ENSG00000158042;ENSG00000182154;ENSG00000100316;ENSG00000174547;ENSG00000182774;ENSG00000172172;ENSG00000089009;ENSG00000265681;ENSG00000100325;ENSG00000197170;ENSG00000187840;ENSG00000163682;ENSG00000124608;ENSG00000204394;ENSG00000090263;ENSG00000134419;ENSG00000129824;ENSG00000172809;ENSG00000179115;ENSG00000144713;ENSG00000140988;ENSG00000182180;ENSG00000171863;ENSG00000128626;ENSG00000158417;ENSG00000100519;ENSG00000116898;ENSG00000103363;ENSG00000180817;ENSG00000142937;ENSG00000180992;ENSG00000008988;ENSG00000149100;ENSG00000131469;ENSG00000132432;ENSG00000116874;ENSG00000130811;ENSG00000145592;ENSG00000132676;ENSG00000106305;ENSG00000229117;ENSG00000109332;ENSG00000162244;ENSG00000125901;ENSG00000071082;ENSG00000142534;ENSG00000156482;ENSG00000167962;ENSG00000170315;ENSG00000115233;ENSG00000163516;ENSG00000148303;ENSG00000070785;ENSG00000197345;ENSG00000135900;ENSG00000127922;ENSG00000147403;ENSG00000171858;ENSG00000159377;ENSG00000122406;ENSG00000178982;ENSG00000241343;ENSG00000180879;ENSG00000112651;ENSG00000086504;ENSG00000004779;ENSG00000189369;ENSG00000147604;ENSG00000172586;ENSG00000147586;ENSG00000175110;ENSG00000136522;ENSG00000123297;ENSG00000164062;ENSG00000211459;ENSG00000136897;ENSG00000243147;ENSG00000138777;ENSG00000173692;ENSG00000100567;ENSG00000150991;ENSG00000173141;ENSG00000147677;ENSG00000159111;ENSG00000181991;ENSG00000148187;ENSG00000072401;ENSG00000198015;ENSG00000100353;ENSG00000182899;ENSG00000161970"
"REACTOME","REACTOME_RRNA_PROCESSING",6.33098630274599e-29,4.46967632973867e-26,1.39518713415833,0.674847540841116,2.75067616308261,210,"ENSG00000120800;ENSG00000071462;ENSG00000108592;ENSG00000163584;ENSG00000167112;ENSG00000177954;ENSG00000143947;ENSG00000130826;ENSG00000278053;ENSG00000278619;ENSG00000233927;ENSG00000138442;ENSG00000227057;ENSG00000083845;ENSG00000189306;ENSG00000197958;ENSG00000124541;ENSG00000142541;ENSG00000170889;ENSG00000112306;ENSG00000137818;ENSG00000126749;ENSG00000124614;ENSG00000108107;ENSG00000261236;ENSG00000177600;ENSG00000105372;ENSG00000130255;ENSG00000100138;ENSG00000167526;ENSG00000160214;ENSG00000112578;ENSG00000241370;ENSG00000156990;ENSG00000213741;ENSG00000198918;ENSG00000100029;ENSG00000174748;ENSG00000105671;ENSG00000149273;ENSG00000145912;ENSG00000130713;ENSG00000124784;ENSG00000105193;ENSG00000141456;ENSG00000114391;ENSG00000101361;ENSG00000167721;ENSG00000105640;ENSG00000168028;ENSG00000183751;ENSG00000197756;ENSG00000186468;ENSG00000142676;ENSG00000161016;ENSG00000111641;ENSG00000171824;ENSG00000114767;ENSG00000241945;ENSG00000166441;ENSG00000006744;ENSG00000231500;ENSG00000109475;ENSG00000138326;ENSG00000072506;ENSG00000145425;ENSG00000165502;ENSG00000118181;ENSG00000109534;ENSG00000115268;ENSG00000165271;ENSG00000122026;ENSG00000198242;ENSG00000198755;ENSG00000149806;ENSG00000184967;ENSG00000188846;ENSG00000110700;ENSG00000174444;ENSG00000063177;ENSG00000198034;ENSG00000221983;ENSG00000183520;ENSG00000162408;ENSG00000197728;ENSG00000077348;ENSG00000164587;ENSG00000150990;ENSG00000108298;ENSG00000136942;ENSG00000182117;ENSG00000115053;ENSG00000100316;ENSG00000120158;ENSG00000182774;ENSG00000135521;ENSG00000089009;ENSG00000265681;ENSG00000163682;ENSG00000115946;ENSG00000134419;ENSG00000129824;ENSG00000172809;ENSG00000144713;ENSG00000140988;ENSG00000007520;ENSG00000178896;ENSG00000171863;ENSG00000086189;ENSG00000156697;ENSG00000142937;ENSG00000065268;ENSG00000008988;ENSG00000131469;ENSG00000145592;ENSG00000229117;ENSG00000162244;ENSG00000071082;ENSG00000142534;ENSG00000156482;ENSG00000163684;ENSG00000108651;ENSG00000274523;ENSG00000165526;ENSG00000148303;ENSG00000147403;ENSG00000171858;ENSG00000122406;ENSG00000171861;ENSG00000241343;ENSG00000141076;ENSG00000117395;ENSG00000147604;ENSG00000165733;ENSG00000130935;ENSG00000075914;ENSG00000211459;ENSG00000124787;ENSG00000178718;ENSG00000087269;ENSG00000011260;ENSG00000122687;ENSG00000135372;ENSG00000182899;ENSG00000001497;ENSG00000055044;ENSG00000161970;ENSG00000105202;ENSG00000137154;ENSG00000156469;ENSG00000197223;ENSG00000029639;ENSG00000173113;ENSG00000124383"
"REACTOME","REACTOME_RIBOSOME_ASSOCIATED_QUALITY_CONTROL",1.72545470887934e-26,8.12114016312544e-24,1.33449749081658,0.723140654030424,2.81262744728106,143,"ENSG00000163584;ENSG00000177954;ENSG00000100804;ENSG00000136930;ENSG00000143947;ENSG00000233927;ENSG00000141002;ENSG00000277791;ENSG00000083845;ENSG00000197958;ENSG00000142541;ENSG00000170889;ENSG00000112306;ENSG00000137818;ENSG00000124614;ENSG00000108107;ENSG00000087191;ENSG00000177600;ENSG00000105372;ENSG00000041357;ENSG00000008018;ENSG00000185627;ENSG00000130255;ENSG00000167526;ENSG00000070010;ENSG00000213741;ENSG00000100764;ENSG00000198918;ENSG00000174748;ENSG00000149273;ENSG00000105193;ENSG00000114391;ENSG00000101182;ENSG00000105640;ENSG00000168028;ENSG00000130706;ENSG00000126067;ENSG00000197756;ENSG00000186468;ENSG00000142676;ENSG00000161016;ENSG00000103035;ENSG00000166441;ENSG00000231500;ENSG00000109475;ENSG00000138326;ENSG00000145425;ENSG00000165502;ENSG00000118181;ENSG00000115268;ENSG00000122026;ENSG00000103671;ENSG00000198242;ENSG00000198755;ENSG00000149806;ENSG00000188846;ENSG00000110700;ENSG00000174444;ENSG00000063177;ENSG00000198034;ENSG00000221983;ENSG00000197728;ENSG00000164587;ENSG00000108298;ENSG00000136942;ENSG00000100387;ENSG00000142507;ENSG00000106588;ENSG00000165916;ENSG00000099341;ENSG00000100316;ENSG00000182774;ENSG00000089009;ENSG00000265681;ENSG00000100325;ENSG00000197170;ENSG00000163682;ENSG00000134419;ENSG00000129824;ENSG00000172809;ENSG00000144713;ENSG00000140988;ENSG00000171863;ENSG00000100519;ENSG00000103363;ENSG00000142937;ENSG00000008988;ENSG00000131469;ENSG00000145592;ENSG00000229117;ENSG00000109332;ENSG00000162244;ENSG00000071082;ENSG00000142534;ENSG00000156482;ENSG00000167962;ENSG00000170315;ENSG00000115233;ENSG00000163516;ENSG00000148303;ENSG00000127922;ENSG00000147403;ENSG00000171858;ENSG00000159377;ENSG00000122406;ENSG00000241343"
"REACTOME","REACTOME_EUKARYOTIC_TRANSLATION_INITIATION",1.90440415897031e-24,6.7225466811652e-22,1.27903397725049,0.739584983835924,2.79928168681934,118,"ENSG00000115211;ENSG00000163584;ENSG00000177954;ENSG00000143947;ENSG00000233927;ENSG00000161960;ENSG00000083845;ENSG00000197958;ENSG00000142541;ENSG00000170889;ENSG00000112306;ENSG00000137818;ENSG00000124614;ENSG00000108107;ENSG00000177600;ENSG00000105372;ENSG00000130255;ENSG00000167526;ENSG00000175390;ENSG00000213741;ENSG00000134001;ENSG00000145191;ENSG00000198918;ENSG00000174748;ENSG00000149273;ENSG00000070756;ENSG00000105193;ENSG00000114391;ENSG00000105640;ENSG00000168028;ENSG00000197756;ENSG00000186468;ENSG00000142676;ENSG00000161016;ENSG00000166441;ENSG00000231500;ENSG00000109475;ENSG00000138326;ENSG00000145425;ENSG00000165502;ENSG00000118181;ENSG00000115268;ENSG00000122026;ENSG00000198242;ENSG00000198755;ENSG00000149806;ENSG00000188846;ENSG00000110700;ENSG00000174444;ENSG00000063177;ENSG00000198034;ENSG00000221983;ENSG00000197728;ENSG00000164587;ENSG00000108298;ENSG00000106263;ENSG00000136942;ENSG00000104131;ENSG00000084623;ENSG00000100316;ENSG00000182774;ENSG00000089009;ENSG00000265681;ENSG00000187840;ENSG00000163682;ENSG00000134419;ENSG00000129824;ENSG00000172809;ENSG00000144713;ENSG00000140988;ENSG00000171863;ENSG00000158417;ENSG00000142937;ENSG00000008988;ENSG00000149100;ENSG00000131469;ENSG00000130811;ENSG00000145592;ENSG00000229117;ENSG00000162244;ENSG00000071082;ENSG00000142534;ENSG00000156482;ENSG00000148303;ENSG00000070785;ENSG00000147403;ENSG00000171858;ENSG00000122406;ENSG00000178982;ENSG00000241343"
"REACTOME","REACTOME_EUKARYOTIC_TRANSLATION_ELONGATION",3.76596882087302e-22,1.06350959501454e-19,1.22105375677186,0.771417234622321,2.81007599329386,92,"ENSG00000101210;ENSG00000163584;ENSG00000177954;ENSG00000143947;ENSG00000233927;ENSG00000083845;ENSG00000197958;ENSG00000142541;ENSG00000170889;ENSG00000112306;ENSG00000137818;ENSG00000124614;ENSG00000108107;ENSG00000177600;ENSG00000105372;ENSG00000130255;ENSG00000167526;ENSG00000213741;ENSG00000198918;ENSG00000174748;ENSG00000149273;ENSG00000105193;ENSG00000114391;ENSG00000105640;ENSG00000168028;ENSG00000197756;ENSG00000186468;ENSG00000142676;ENSG00000161016;ENSG00000166441;ENSG00000231500;ENSG00000104529;ENSG00000109475;ENSG00000138326;ENSG00000145425;ENSG00000165502;ENSG00000118181;ENSG00000115268;ENSG00000122026;ENSG00000198242;ENSG00000198755;ENSG00000149806;ENSG00000188846;ENSG00000110700;ENSG00000174444;ENSG00000063177;ENSG00000198034;ENSG00000221983;ENSG00000114942;ENSG00000197728;ENSG00000164587;ENSG00000108298;ENSG00000136942;ENSG00000100316;ENSG00000182774;ENSG00000089009;ENSG00000265681;ENSG00000163682;ENSG00000134419;ENSG00000129824;ENSG00000172809;ENSG00000144713;ENSG00000140988;ENSG00000171863;ENSG00000142937;ENSG00000008988;ENSG00000131469;ENSG00000145592;ENSG00000229117;ENSG00000162244;ENSG00000071082;ENSG00000142534;ENSG00000156482;ENSG00000148303;ENSG00000147403;ENSG00000171858;ENSG00000122406;ENSG00000241343"
"REACTOME","REACTOME_REGULATION_OF_EXPRESSION_OF_SLITS_AND_ROBOS",1.57338076793756e-21,3.70268940721306e-19,1.20397524075264,0.674823392450774,2.65296095189175,156,"ENSG00000163584;ENSG00000177954;ENSG00000100804;ENSG00000136930;ENSG00000143947;ENSG00000233927;ENSG00000187122;ENSG00000277791;ENSG00000083845;ENSG00000197958;ENSG00000142541;ENSG00000170889;ENSG00000112306;ENSG00000137818;ENSG00000124614;ENSG00000108107;ENSG00000087191;ENSG00000177600;ENSG00000105372;ENSG00000041357;ENSG00000008018;ENSG00000185627;ENSG00000130255;ENSG00000167526;ENSG00000213741;ENSG00000100764;ENSG00000198918;ENSG00000174748;ENSG00000149273;ENSG00000070756;ENSG00000105193;ENSG00000114391;ENSG00000101182;ENSG00000105640;ENSG00000168028;ENSG00000130706;ENSG00000126067;ENSG00000197756;ENSG00000186468;ENSG00000141543;ENSG00000142676;ENSG00000161016;ENSG00000103035;ENSG00000166441;ENSG00000231500;ENSG00000109475;ENSG00000138326;ENSG00000145425;ENSG00000165502;ENSG00000118181;ENSG00000115268;ENSG00000122026;ENSG00000198242;ENSG00000198755;ENSG00000149806;ENSG00000188846;ENSG00000110700;ENSG00000174444;ENSG00000063177;ENSG00000198034;ENSG00000221983;ENSG00000197728;ENSG00000164587;ENSG00000108298;ENSG00000136942;ENSG00000143355;ENSG00000100387;ENSG00000142507;ENSG00000106588;ENSG00000165916;ENSG00000099341;ENSG00000100316;ENSG00000182774;ENSG00000089009;ENSG00000265681;ENSG00000197170;ENSG00000163682;ENSG00000134419;ENSG00000129824;ENSG00000172809;ENSG00000144713;ENSG00000140988;ENSG00000169062;ENSG00000171863;ENSG00000100519;ENSG00000103363;ENSG00000142937;ENSG00000008988;ENSG00000131469;ENSG00000145592;ENSG00000229117;ENSG00000162244;ENSG00000071082;ENSG00000142534;ENSG00000156482;ENSG00000170315;ENSG00000115233;ENSG00000148303;ENSG00000145147;ENSG00000127922;ENSG00000147403;ENSG00000171858;ENSG00000159377;ENSG00000122406;ENSG00000241343;ENSG00000162385"
"REACTOME","REACTOME_NONSENSE_MEDIATED_DECAY_NMD",3.14452126144533e-21,6.34294860165829e-19,1.19534448258848,0.720076510816673,2.70877908235421,114,"ENSG00000163584;ENSG00000177954;ENSG00000143947;ENSG00000233927;ENSG00000083845;ENSG00000197958;ENSG00000142541;ENSG00000170889;ENSG00000112306;ENSG00000137818;ENSG00000124614;ENSG00000108107;ENSG00000177600;ENSG00000105372;ENSG00000130255;ENSG00000167526;ENSG00000213741;ENSG00000198918;ENSG00000174748;ENSG00000149273;ENSG00000070756;ENSG00000105193;ENSG00000114391;ENSG00000105640;ENSG00000168028;ENSG00000197756;ENSG00000186468;ENSG00000141543;ENSG00000142676;ENSG00000161016;ENSG00000166441;ENSG00000231500;ENSG00000109475;ENSG00000138326;ENSG00000145425;ENSG00000165502;ENSG00000118181;ENSG00000115268;ENSG00000122026;ENSG00000198242;ENSG00000198755;ENSG00000149806;ENSG00000188846;ENSG00000110700;ENSG00000174444;ENSG00000063177;ENSG00000198034;ENSG00000221983;ENSG00000197728;ENSG00000164587;ENSG00000108298;ENSG00000136942;ENSG00000100316;ENSG00000182774;ENSG00000089009;ENSG00000265681;ENSG00000163682;ENSG00000134419;ENSG00000129824;ENSG00000172809;ENSG00000144713;ENSG00000113575;ENSG00000140988;ENSG00000169062;ENSG00000171863;ENSG00000142937;ENSG00000008988;ENSG00000131469;ENSG00000145592;ENSG00000229117;ENSG00000162244;ENSG00000105568;ENSG00000071082;ENSG00000142534;ENSG00000156482;ENSG00000148303;ENSG00000147403;ENSG00000171858;ENSG00000122406;ENSG00000241343;ENSG00000162385;ENSG00000189369;ENSG00000147604"
"REACTOME","REACTOME_SELENOAMINO_ACID_METABOLISM",2.98495285851288e-19,5.26844179527523e-17,1.13308993200902,0.704021678776589,2.65282269109341,115,"ENSG00000160200;ENSG00000163584;ENSG00000177954;ENSG00000151224;ENSG00000143947;ENSG00000233927;ENSG00000083845;ENSG00000197958;ENSG00000142541;ENSG00000101444;ENSG00000170889;ENSG00000112306;ENSG00000137818;ENSG00000124614;ENSG00000108107;ENSG00000177600;ENSG00000105372;ENSG00000133706;ENSG00000130255;ENSG00000167526;ENSG00000213741;ENSG00000198918;ENSG00000174748;ENSG00000149273;ENSG00000105193;ENSG00000114391;ENSG00000105640;ENSG00000168028;ENSG00000197756;ENSG00000186468;ENSG00000142676;ENSG00000161016;ENSG00000166441;ENSG00000231500;ENSG00000109475;ENSG00000138326;ENSG00000145425;ENSG00000165502;ENSG00000118181;ENSG00000115268;ENSG00000179988;ENSG00000122026;ENSG00000198242;ENSG00000198755;ENSG00000149806;ENSG00000188846;ENSG00000065427;ENSG00000110700;ENSG00000174444;ENSG00000063177;ENSG00000198034;ENSG00000221983;ENSG00000197728;ENSG00000164587;ENSG00000108298;ENSG00000136942;ENSG00000100316;ENSG00000182774;ENSG00000089009;ENSG00000265681;ENSG00000163682;ENSG00000134419;ENSG00000129824;ENSG00000172809;ENSG00000144713;ENSG00000132330;ENSG00000140988;ENSG00000171863;ENSG00000142937;ENSG00000008988;ENSG00000131469;ENSG00000145592;ENSG00000106305;ENSG00000229117;ENSG00000162244;ENSG00000071082;ENSG00000142534;ENSG00000156482;ENSG00000148303;ENSG00000147403;ENSG00000171858;ENSG00000122406;ENSG00000241343"
"REACTOME","REACTOME_SIGNALING_BY_ROBO_RECEPTORS",7.16851005360658e-18,1.12465957729917e-15,1.0864405425825,0.596354559275273,2.41982275848811,201,"ENSG00000108518;ENSG00000163584;ENSG00000177954;ENSG00000100804;ENSG00000136930;ENSG00000143947;ENSG00000233927;ENSG00000187122;ENSG00000277791;ENSG00000083845;ENSG00000197958;ENSG00000142541;ENSG00000170889;ENSG00000112306;ENSG00000137818;ENSG00000124614;ENSG00000108107;ENSG00000087191;ENSG00000177600;ENSG00000105372;ENSG00000125753;ENSG00000137843;ENSG00000041357;ENSG00000008018;ENSG00000185627;ENSG00000130255;ENSG00000167526;ENSG00000213741;ENSG00000100764;ENSG00000198918;ENSG00000174748;ENSG00000149273;ENSG00000070756;ENSG00000105193;ENSG00000114391;ENSG00000101182;ENSG00000105640;ENSG00000107562;ENSG00000168028;ENSG00000130706;ENSG00000126067;ENSG00000197756;ENSG00000186468;ENSG00000141543;ENSG00000142676;ENSG00000147799;ENSG00000161016;ENSG00000103035;ENSG00000166441;ENSG00000231500;ENSG00000109475;ENSG00000138326;ENSG00000145425;ENSG00000165502;ENSG00000118181;ENSG00000115268;ENSG00000122026;ENSG00000198242;ENSG00000198755;ENSG00000149806;ENSG00000188846;ENSG00000110700;ENSG00000174444;ENSG00000063177;ENSG00000198034;ENSG00000221983;ENSG00000197728;ENSG00000164587;ENSG00000108298;ENSG00000136942;ENSG00000143355;ENSG00000100387;ENSG00000142507;ENSG00000106588;ENSG00000165916;ENSG00000099341;ENSG00000196405;ENSG00000100316;ENSG00000182774;ENSG00000089009;ENSG00000265681;ENSG00000197170;ENSG00000163682;ENSG00000149269;ENSG00000134419;ENSG00000129824;ENSG00000172809;ENSG00000144713;ENSG00000140988;ENSG00000169062;ENSG00000171863;ENSG00000100519;ENSG00000103363;ENSG00000142937;ENSG00000008988;ENSG00000131469;ENSG00000145592;ENSG00000229117;ENSG00000162244;ENSG00000071082;ENSG00000142534;ENSG00000156482;ENSG00000170315;ENSG00000115233;ENSG00000148303;ENSG00000145147;ENSG00000127922;ENSG00000147403;ENSG00000171858;ENSG00000159377;ENSG00000122406;ENSG00000241343;ENSG00000162385;ENSG00000196220;ENSG00000189369;ENSG00000147604"
"REACTOME","REACTOME_METABOLISM_OF_AMINO_ACIDS_AND_DERIVATIVES",1.96372794521112e-17,2.7727838586381e-15,1.07686819261983,0.508020309433431,2.1770866627918,345,"ENSG00000088826;ENSG00000223572;ENSG00000130005;ENSG00000160200;ENSG00000203797;ENSG00000105552;ENSG00000237289;ENSG00000141744;ENSG00000151552;ENSG00000162174;ENSG00000111181;ENSG00000163584;ENSG00000177954;ENSG00000151224;ENSG00000135423;ENSG00000100804;ENSG00000136930;ENSG00000128311;ENSG00000143947;ENSG00000151498;ENSG00000100348;ENSG00000233927;ENSG00000277791;ENSG00000198130;ENSG00000083845;ENSG00000181019;ENSG00000197958;ENSG00000142541;ENSG00000101444;ENSG00000166165;ENSG00000170889;ENSG00000112306;ENSG00000137818;ENSG00000124614;ENSG00000108107;ENSG00000087191;ENSG00000175309;ENSG00000177600;ENSG00000105372;ENSG00000133706;ENSG00000041357;ENSG00000008018;ENSG00000185627;ENSG00000130255;ENSG00000167526;ENSG00000178445;ENSG00000116649;ENSG00000149089;ENSG00000130821;ENSG00000213741;ENSG00000100764;ENSG00000198918;ENSG00000174748;ENSG00000104524;ENSG00000149273;ENSG00000124523;ENSG00000134056;ENSG00000103316;ENSG00000105193;ENSG00000114391;ENSG00000105755;ENSG00000101182;ENSG00000105640;ENSG00000168028;ENSG00000130706;ENSG00000126067;ENSG00000197756;ENSG00000186468;ENSG00000142676;ENSG00000179761;ENSG00000161016;ENSG00000139531;ENSG00000103035;ENSG00000132840;ENSG00000153406;ENSG00000166441;ENSG00000231500;ENSG00000109475;ENSG00000138326;ENSG00000072506;ENSG00000145425;ENSG00000165502;ENSG00000118181;ENSG00000115268;ENSG00000179988;ENSG00000132541;ENSG00000122026;ENSG00000198242;ENSG00000198755;ENSG00000149806;ENSG00000181915;ENSG00000188846;ENSG00000139344;ENSG00000065427;ENSG00000110700;ENSG00000174444;ENSG00000099810;ENSG00000063177;ENSG00000198034;ENSG00000221983;ENSG00000197728;ENSG00000164587;ENSG00000132437;ENSG00000108298;ENSG00000136942;ENSG00000183077;ENSG00000142507;ENSG00000106588;ENSG00000165916;ENSG00000099341;ENSG00000100316;ENSG00000182774;ENSG00000089009;ENSG00000265681;ENSG00000140287;ENSG00000197170;ENSG00000163682;ENSG00000164175;ENSG00000134419;ENSG00000129824;ENSG00000103507;ENSG00000172809;ENSG00000171097;ENSG00000144713;ENSG00000132330;ENSG00000140988;ENSG00000171863;ENSG00000101323;ENSG00000139631;ENSG00000100519;ENSG00000142937;ENSG00000008988;ENSG00000127884;ENSG00000131469;ENSG00000145592;ENSG00000106305;ENSG00000162882;ENSG00000164300;ENSG00000229117;ENSG00000162244;ENSG00000065154;ENSG00000104904;ENSG00000071082;ENSG00000183048;ENSG00000142534;ENSG00000156482;ENSG00000080166;ENSG00000128309;ENSG00000120053;ENSG00000115233;ENSG00000148303;ENSG00000148832;ENSG00000129596;ENSG00000127922;ENSG00000147403;ENSG00000171858;ENSG00000159377;ENSG00000122406"
"REACTOME","REACTOME_RESPIRATORY_ELECTRON_TRANSPORT",6.9785102890248e-16,8.95786957100274e-14,1.02766987054358,0.616125327874714,2.42220881616594,157,"ENSG00000189043;ENSG00000224877;ENSG00000183648;ENSG00000105341;ENSG00000267855;ENSG00000171503;ENSG00000127838;ENSG00000186010;ENSG00000164919;ENSG00000137288;ENSG00000178449;ENSG00000178741;ENSG00000250317;ENSG00000131143;ENSG00000178127;ENSG00000169021;ENSG00000213619;ENSG00000184076;ENSG00000166136;ENSG00000160194;ENSG00000108528;ENSG00000074582;ENSG00000168569;ENSG00000110717;ENSG00000130159;ENSG00000164258;ENSG00000130414;ENSG00000174886;ENSG00000145494;ENSG00000090266;ENSG00000140990;ENSG00000099795;ENSG00000168273;ENSG00000139180;ENSG00000126602;ENSG00000179091;ENSG00000155463;ENSG00000170906;ENSG00000147684;ENSG00000147123;ENSG00000204954;ENSG00000126267;ENSG00000233954;ENSG00000214113;ENSG00000167792;ENSG00000100209;ENSG00000137806;ENSG00000111775;ENSG00000112695;ENSG00000010256;ENSG00000117118;ENSG00000113013;ENSG00000127540;ENSG00000178057;ENSG00000131495;ENSG00000146701;ENSG00000173660;ENSG00000183978;ENSG00000138495;ENSG00000136003;ENSG00000004961;ENSG00000146066;ENSG00000133983;ENSG00000168653;ENSG00000127184;ENSG00000164405;ENSG00000135940;ENSG00000115286;ENSG00000151366;ENSG00000109390;ENSG00000120053;ENSG00000184752;ENSG00000204922;ENSG00000140374;ENSG00000123545;ENSG00000229833;ENSG00000004779;ENSG00000073578;ENSG00000136463;ENSG00000140740;ENSG00000119421;ENSG00000156467;ENSG00000184983;ENSG00000101247;ENSG00000164182;ENSG00000156170;ENSG00000144120;ENSG00000131174;ENSG00000125356;ENSG00000113845;ENSG00000176340;ENSG00000065518;ENSG00000148290;ENSG00000171202"
"REACTOME","REACTOME_MITOCHONDRIAL_TRANSLATION_ELONGATION",7.97093895511787e-16,9.37913817052203e-14,1.02766987054358,0.713306870476216,2.5842181261763,89,"ENSG00000166902;ENSG00000102738;ENSG00000162910;ENSG00000125445;ENSG00000178952;ENSG00000181610;ENSG00000214026;ENSG00000062582;ENSG00000144029;ENSG00000096080;ENSG00000108826;ENSG00000143436;ENSG00000143314;ENSG00000171421;ENSG00000061794;ENSG00000175756;ENSG00000262814;ENSG00000105364;ENSG00000132591;ENSG00000167862;ENSG00000242485;ENSG00000172590;ENSG00000179271;ENSG00000134056;ENSG00000111639;ENSG00000183617;ENSG00000116221;ENSG00000259494;ENSG00000204316;ENSG00000137547;ENSG00000106591;ENSG00000204822;ENSG00000155463;ENSG00000169288;ENSG00000185608;ENSG00000163319;ENSG00000114686;ENSG00000130312;ENSG00000243927;ENSG00000074071;ENSG00000158042;ENSG00000182154;ENSG00000174547;ENSG00000172172;ENSG00000090263;ENSG00000182180;ENSG00000128626;ENSG00000116898;ENSG00000180992;ENSG00000132676;ENSG00000125901;ENSG00000197345;ENSG00000135900;ENSG00000112651;ENSG00000086504;ENSG00000172586;ENSG00000147586;ENSG00000175110;ENSG00000136522;ENSG00000123297;ENSG00000211459;ENSG00000136897;ENSG00000243147;ENSG00000173141;ENSG00000159111;ENSG00000181991;ENSG00000198015"
